id,streetid,source,layer,name,housenumber,street,city,zipcode,length,lat,lon
"GRB:1187288","61601","GRB","street","Dokter De Moorstraat","","Dokter De Moorstraat","Aalst","9300","200.56","50.944236469684654","4.044992472090312"
"GRB:1116546","61602","GRB","street","Dom Modest Van Asschelaan","","Dom Modest Van Asschelaan","Aalst","9300","210.45","50.90922794488418","4.083678841833302"
"GRB:1211488","61603","GRB","street","Domentstraat","","Domentstraat","Aalst","9300","210.97","50.92415732051835","4.137289961081894"
"GRB:1156040","61604","GRB","street","Dompelstraat","","Dompelstraat","Aalst","9300","129.87","50.95152659636252","4.052600300251675"
"GRB:1109615","61605","GRB","street","Doolhofstraat","","Doolhofstraat","Aalst","9300","245.62","50.9405009703168","4.049217848891494"
"GRB:1149525","61606","GRB","street","Doornstraat","","Doornstraat","Aalst","9300","183.88","50.94722280515897","4.0626182104576865"
"GRB:1526407","61607","GRB","street","Doornveld","","Doornveld","Aalst","9300","92.64","50.94573865611087","4.072935039840267"
"GRB:1158111","61608","GRB","street","Doriksveld","","Doriksveld","Aalst","9300","141.01","50.96161453093858","4.0258595831934425"
"GRB:1229290","61618","GRB","street","Draaiersstraat","","Draaiersstraat","Aalst","9300","100.65","50.94937669800928","4.0628199746283915"
"GRB:1109265","61619","GRB","street","Drapstraat","","Drapstraat","Aalst","9300","182.37","50.98344751280163","4.035513358324383"
"GRB:1210179","61621","GRB","street","Dreefstraat","","Dreefstraat","Aalst","9300","262.35","50.91235667322393","4.0264306827473515"
"GRB:1204665","61622","GRB","street","Drie Sleutelsstraat","","Drie Sleutelsstraat","Aalst","9300","166.82","50.94719709472404","4.043881299843542"
"GRB:1205131","61623","GRB","street","Drie Veldenweg","","Drie Veldenweg","Aalst","9300","116.2","50.94536601879348","4.056625451095776"
"GRB:1185173","61624","GRB","street","Driehoekstraat","","Driehoekstraat","Aalst","9300","288.75","50.91019705656698","4.035463772680565"
"GRB:1103369","61625","GRB","street","Dries","","Dries","Aalst","9300","233.99","50.911647421169","4.020693487123831"
"GRB:1526385","61630","GRB","street","Duivekeetstraat","","Duivekeetstraat","Aalst","9300","140.39","50.93841908860662","4.031363897330481"
"GRB:1181520","61631","GRB","street","Dwarsstraat","","Dwarsstraat","Aalst","9300","246.71","50.92149501979864","4.013492234623533"
"GRB:1235261","61632","GRB","street","Edixvelde","","Edixvelde","Aalst","9300","242.14","50.91954431373805","3.9888185499867435"
"GRB:1236051","61634","GRB","street","Eeckhoutstraat","","Eeckhoutstraat","Aalst","9300","166.81","50.928898891134004","4.131690714742818"
